"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.38233165123359e-131,-181.687535767374,0.413,0.592,9.13489327847364e-127,"Dysfunctional.CD8","ANXA2"
1.50123039299363e-130,-80.6495502020268,0.888,0.707,2.54788822298878e-126,"Dysfunctional.CD8","SH3BGRL3"
3.87116806646342e-130,-2.61238683751075,0.048,0.202,6.57014644240171e-126,"Dysfunctional.CD8","MAP3K13"
1.40938085063855e-129,-31.6479267628625,0.396,0.564,2.39200117970374e-125,"Dysfunctional.CD8","DYNLL1"
5.1234988431324e-129,4.35364828439001,0.311,0.135,8.69560223656431e-125,"Dysfunctional.CD8","SLA"
2.04727507041196e-128,-12.4422483258558,0.05,0.204,3.47463524950318e-124,"Dysfunctional.CD8","TSPAN3"
1.95678201993766e-127,-21.4117022426929,0.247,0.435,3.3210504442382e-123,"Dysfunctional.CD8","NUCKS1"
2.88253683894123e-127,10.1429048240742,0.378,0.184,4.89224152305106e-123,"Dysfunctional.CD8","FYB1"
9.46435157921773e-127,-9.90363941969262,0.097,0.269,1.60628975002483e-122,"Dysfunctional.CD8","PLSCR1"
1.73577422392606e-126,-220.460255456861,0.774,0.574,2.94595601284732e-122,"Dysfunctional.CD8","CRIP1"
4.49378942132291e-126,-27.273413106862,0.208,0.069,7.62685940586924e-122,"Dysfunctional.CD8","CLIC3"
8.58606499000948e-126,-3.71999633551267,0.09,0.263,1.45722695010441e-121,"Dysfunctional.CD8","LIMS1"
5.58756892544724e-125,-7.66434771558853,0.088,0.256,9.48322198026906e-121,"Dysfunctional.CD8","IFNGR1"
3.28540530165338e-124,-18.1422626910689,0.236,0.407,5.57598987796611e-120,"Dysfunctional.CD8","MGST3"
3.96478909954493e-124,-8.39017230736291,0.049,0.203,6.72904005974766e-120,"Dysfunctional.CD8","SLC38A2"
