"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SELENOM",1.06000477436534e-176,0.713287031085637,0.489,0.161,1.73437981181656e-172,"6","SELENOM"
"ATF4",1.38590814320589e-175,0.642405462453296,0.506,0.159,2.26762290391347e-171,"6","ATF4"
"CD3E",3.1587433380326e-172,-0.659046535634064,0.021,0.351,5.16833584968895e-168,"6","CD3E"
"CD63",3.29964057130626e-170,0.878987281151734,0.758,0.415,5.39887190277131e-166,"6","CD63"
"LTB",3.7810366817058e-169,-1.20887141561879,0.114,0.482,6.18653221860704e-165,"6","LTB"
"CD37",6.27006902870129e-169,-0.946362590050486,0.159,0.535,1.02590869447611e-164,"6","CD37"
"SEC61A1",2.61385495154049e-168,0.440998705461958,0.323,0.056,4.27678947171055e-164,"6","SEC61A1"
"LAPTM5",4.61430872312354e-167,-0.872337853912278,0.197,0.576,7.54993193277473e-163,"6","LAPTM5"
"LY96",1.66337438997759e-160,0.455891194480242,0.309,0.055,2.72161317688133e-156,"6","LY96"
"PHPT1",3.04170570423939e-160,0.643477746490255,0.531,0.189,4.97683887327649e-156,"6","PHPT1"
"HDLBP",1.07591952093081e-159,0.45582760872118,0.326,0.059,1.76041952014699e-155,"6","HDLBP"
"SERP1",6.87754547325195e-155,0.708282776191295,0.645,0.373,1.12530399033348e-150,"6","SERP1"
"HCST",1.06422832133839e-154,-0.928612051957744,0.132,0.482,1.74129037937388e-150,"6","HCST"
"MEI1",9.25220555153275e-154,0.376294644151578,0.273,0.042,1.51384587234179e-149,"6","MEI1"
"TMED9",1.1214997739676e-153,0.657837374023594,0.519,0.197,1.83499793016579e-149,"6","TMED9"
"TP53INP1",4.16055049909136e-152,0.434241131130916,0.242,0.037,6.80749272661329e-148,"6","TP53INP1"
"GSTP1",7.00847152448488e-152,0.764574097928432,0.714,0.386,1.14672611083622e-147,"6","GSTP1"
"KDELR1",1.69616389586508e-151,0.502053047025655,0.385,0.094,2.77526336641445e-147,"6","KDELR1"
"HSPA1A",4.11625222454278e-150,1.22983984160542,0.428,0.163,6.7350118897969e-146,"6","HSPA1A"
"HM13",2.19482402152377e-149,0.51350260023569,0.379,0.103,3.5911710640172e-145,"6","HM13"
"TRIB1",8.92491891640596e-149,0.339784299039267,0.216,0.022,1.46029523310234e-144,"6","TRIB1"
"SRPRB",4.05340772758398e-148,0.392347198205207,0.288,0.054,6.6321857238729e-144,"6","SRPRB"
"MIF",6.8404267856765e-148,0.82286982120274,0.82,0.648,1.11923063067239e-143,"6","MIF"
"CD59",3.25668232603747e-142,0.711498988963964,0.526,0.191,5.32858362186251e-138,"6","CD59"
"CD48",1.27962595581082e-141,-0.600639375097481,0.07,0.398,2.09372398889766e-137,"6","CD48"
"FAM174A",2.23098411862885e-141,0.325148650494028,0.213,0.026,3.65033621490053e-137,"6","FAM174A"
"IL7R",7.54205553597861e-141,-0.940675351745135,0.053,0.355,1.23403112679682e-136,"6","IL7R"
"SAT1",2.85759468775796e-140,0.925264541060087,0.762,0.472,4.67559642810958e-136,"6","SAT1"
"GNAS",1.16925239417303e-138,0.793310231046458,0.585,0.294,1.91313076734591e-134,"6","GNAS"
"SIL1",9.4708244340646e-138,0.329967155640407,0.226,0.029,1.54961629390165e-133,"6","SIL1"
"TIMP1",1.21868664395455e-136,0.788468475487831,0.695,0.39,1.99401508683843e-132,"6","TIMP1"
"IGFBP7",5.01878490829397e-136,0.751328088362279,0.728,0.468,8.2117358669506e-132,"6","IGFBP7"
"ZBP1",1.63352818289884e-135,0.361990791514115,0.247,0.04,2.67277881285908e-131,"6","ZBP1"
"INS",2.58010168869318e-135,1.4895145824073,0.726,0.577,4.22156238303978e-131,"6","INS"
"TMEM208",2.66136234841878e-135,0.453735564451365,0.364,0.093,4.35452107448281e-131,"6","TMEM208"
"UQCRQ",3.97885963691863e-135,0.691095587158404,0.672,0.358,6.51021013792626e-131,"6","UQCRQ"
"CD69",4.925588361393e-135,-0.774293625665387,0.065,0.38,8.05924767691122e-131,"6","CD69"
"SEL1L3",1.8684826207974e-134,0.445559773726978,0.358,0.091,3.0572112641487e-130,"6","SEL1L3"
"HSPB1",6.82759830619241e-134,0.776928561507229,0.628,0.338,1.1171316348592e-129,"6","HSPB1"
"LMAN2",1.77796418306946e-132,0.565254643664416,0.479,0.184,2.90910499633825e-128,"6","LMAN2"
"CD7",1.74558192917506e-131,-0.758087630023904,0.057,0.351,2.85612115251623e-127,"6","CD7"
"P4HB",2.85602739603519e-131,0.649972450078515,0.499,0.184,4.67303202539278e-127,"6","P4HB"
